max_value,expected_value,success,day
6.0,6.0,False,1
9.0,8.1,True,1
6.0,6.0,False,1
2.0,2.0,False,1
7.0,6.3,True,1
4.0,4.0,False,1
2.0,2.0,False,1
9.0,8.1,True,1
3.0,3.0,False,1
3.0,3.0,False,1
6.0,5.4,True,2
9.0,7.29,True,2
6.0,5.4,True,2
2.0,2.0,False,2
7.0,6.930000000000001,False,2
4.0,4.0,False,2
2.0,2.0,False,2
9.0,7.29,True,2
3.0,3.0,False,2
3.0,3.0,False,2
6.0,4.86,True,3
9.0,8.019,False,3
6.0,4.86,True,3
2.0,2.0,False,3
7.0,7.0,False,3
4.0,3.6,True,3
2.0,2.0,False,3
9.0,8.019,False,3
3.0,3.0,False,3
3.0,3.0,False,3
6.0,5.346000000000001,False,4
9.0,7.2171,True,4
6.0,4.3740000000000006,True,4
2.0,2.0,False,4
7.0,6.3,True,4
4.0,3.9600000000000004,False,4
2.0,2.0,False,4
9.0,7.2171,True,4
3.0,2.7,True,4
3.0,3.0,False,4
6.0,4.811400000000001,True,5
9.0,7.938810000000001,False,5
6.0,4.811400000000001,False,5
2.0,2.0,False,5
7.0,5.67,True,5
4.0,4.0,False,5
2.0,2.0,False,5
9.0,7.938810000000001,False,5
3.0,2.9700000000000006,False,5
3.0,2.7,True,5
6.0,5.292540000000002,False,6
9.0,7.144929000000001,True,6
6.0,5.292540000000002,False,6
2.0,2.0,False,6
7.0,5.103,True,6
4.0,4.0,False,6
2.0,2.0,False,6
9.0,8.732691000000003,False,6
3.0,3.0,False,6
3.0,2.43,True,6
6.0,4.763286000000002,True,7
9.0,6.430436100000001,True,7
6.0,4.763286000000002,True,7
2.0,2.0,False,7
7.0,5.613300000000001,False,7
4.0,3.6,True,7
2.0,2.0,False,7
9.0,7.859421900000003,True,7
3.0,3.0,False,7
3.0,2.6730000000000005,False,7
6.0,4.286957400000001,True,8
9.0,5.787392490000001,True,8
6.0,5.239614600000002,False,8
2.0,2.0,False,8
7.0,5.051970000000001,True,8
4.0,3.9600000000000004,False,8
2.0,2.0,False,8
9.0,8.645364090000003,False,8
3.0,3.0,False,8
3.0,2.9403000000000006,False,8
6.0,4.7156531400000015,False,9
9.0,6.366131739000002,False,9
6.0,5.763576060000003,False,9
2.0,2.0,False,9
7.0,5.5571670000000015,False,9
4.0,3.5640000000000005,True,9
2.0,2.0,False,9
9.0,7.7808276810000025,True,9
3.0,3.0,False,9
3.0,3.0,False,9
6.0,5.187218454000002,False,10
9.0,7.002744912900003,False,10
6.0,6.0,False,10
2.0,2.0,False,10
